underlying,expiration,trade_date,implied_forward,bid_swap_rate,ask_swap_rate,mid_swap_rate
SPY,2017-10-13,2017-10-06,254.37100000977517,0.05980568881271709,0.061427748850946116,0.06062214423483578
SPY,2017-10-13,2017-10-09,254.14299999177456,0.05980568881271709,0.061427748850946116,0.06062214423483578
SPY,2017-10-13,2017-10-10,254.6080000065267,0.05980568881271709,0.061427748850946116,0.06062214423483578
SPY,2017-10-13,2017-10-11,255.02199999764562,0.05980568881271709,0.061427748850946116,0.06062214423483578
SPY,2017-10-13,2017-10-12,254.62500001247972,0.05980568881271709,0.061427748850946116,0.06062214423483578
SPY,2017-10-13,2017-10-13,254.8800048828125,0,0,0
SPY,2017-10-20,2017-10-13,254.96100001186133,0.06333805474229454,0.06480203014512555,0.0640742237154211
SPY,2017-10-20,2017-10-16,255.35799999646844,0.06333805474229454,0.06480203014512555,0.0640742237154211
SPY,2017-10-20,2017-10-17,255.47800000198185,0.06333805474229454,0.06480203014512555,0.0640742237154211
SPY,2017-10-20,2017-10-18,255.76700000055135,0.06333805474229454,0.06480203014512555,0.0640742237154211
SPY,2017-10-20,2017-10-19,255.86500001307576,0.06333805474229454,0.06480203014512555,0.0640742237154211
SPY,2017-10-20,2017-10-20,257.07000732421875,0,0,0
SPY,2017-10-27,2017-10-20,257.1810000061989,0.0628447267534903,0.06417946403853517,0.06351560156762466
SPY,2017-10-27,2017-10-23,256.2789999961853,0.0628447267534903,0.06417946403853517,0.06351560156762466
SPY,2017-10-27,2017-10-24,256.52899998575447,0.0628447267534903,0.06417946403853517,0.06351560156762466
SPY,2017-10-27,2017-10-25,255.52599998861552,0.0628447267534903,0.06417946403853517,0.06351560156762466
SPY,2017-10-27,2017-10-26,255.68300000056624,0.0628447267534903,0.06417946403853517,0.06351560156762466
SPY,2017-10-27,2017-10-27,257.68951416015625,0,0,0
SPY,2017-11-03,2017-10-27,257.6840000152588,0.07336530056796767,0.07466739308032559,0.07401921006346963
SPY,2017-11-03,2017-10-30,256.7010000169277,0.07336530056796767,0.07466739308032559,0.07401921006346963
SPY,2017-11-03,2017-10-31,257.2100000113249,0.07336530056796767,0.07466739308032559,0.07401921006346963
SPY,2017-11-03,2017-11-01,257.50499998778105,0.07336530056796767,0.07466739308032559,0.07401921006346963
SPY,2017-11-03,2017-11-02,257.71600000187755,0.07336530056796767,0.07466739308032559,0.07401921006346963
SPY,2017-11-03,2017-11-03,258.45001220703125,0,0,0
SPY,2017-11-10,2017-11-03,258.4019999831915,0.06312315490982257,0.06462610868297346,0.0638790521582504
SPY,2017-11-10,2017-11-06,258.7339999899268,0.06312315490982257,0.06462610868297346,0.0638790521582504
SPY,2017-11-10,2017-11-07,258.6220000073314,0.06312315490982257,0.06462610868297346,0.0638790521582504
SPY,2017-11-10,2017-11-08,259.0080000072718,0.06312315490982257,0.06462610868297346,0.0638790521582504
SPY,2017-11-10,2017-11-09,258.3290000135079,0.06312315490982257,0.06462610868297346,0.0638790521582504
SPY,2017-11-10,2017-11-10,258.1000061035156,0,0,0
SPY,2017-11-17,2017-11-10,258.07299998998644,0.09533894187158665,0.096799565097216,0.09607202933269375
SPY,2017-11-17,2017-11-13,258.27200002074244,0.09533894187158665,0.096799565097216,0.09607202933269375
SPY,2017-11-17,2017-11-14,257.84599998891355,0.09533894187158665,0.096799565097216,0.09607202933269375
SPY,2017-11-17,2017-11-15,256.54099999070166,0.09533894187158665,0.096799565097216,0.09607202933269375
